"","fieldname","standard","vetted","namespace","source","comment"
"123","DWC:HIGHESTBIOSTRATIGRAPHICZONE","highestBiostratigraphicZone",1,"dwc","",""
"124","DWC:IDENTIFICATIONID","identificationID",1,"dwc","",""
"125","DWC:IDENTIFICATIONQUALIFIER","identificationQualifier",1,"dwc","",""
"126","DWC:IDENTIFICATIONREFERENCES","identificationReferences",1,"dwc","",""
"127","DWC:IDENTIFICATIONREMARKS","identificationRemarks",1,"dwc","",""
"128","DWC:IDENTIFICATIONVERIFICATIONSTATUS","identificationVerificationStatus",1,"dwc","",""
"129","DWC:IDENTIFIEDBY","identifiedBy",1,"dwc","",""
"130","DWC:INDIVIDUALCOUNT","individualCount",1,"dwc","",""
"131","DWC:INFORMATIONWITHHELD","informationWithheld",1,"dwc","",""
"132","DWC:INFRASPECIFICEPITHET","infraspecificEpithet",1,"dwc","",""
"133","DWC:INSTITUTIONCODE","institutionCode",1,"dwc","",""
"134","DWC:INSTITUTIONID","institutionID",1,"dwc","",""
"135","DWC:ISLAND","island",1,"dwc","",""
"136","DWC:ISLANDGROUP","islandGroup",1,"dwc","",""
"137","DWC:KINGDOM","kingdom",1,"dwc","",""
"138","DWC:LATESTAGEORHIGHESTSTAGE","latestAgeOrHighestStage",1,"dwc","",""
"139","DWC:LATESTEONORHIGHESTEONOTHEM","latestEonOrHighestEonothem",1,"dwc","",""
"140","DWC:LATESTEPOCHORHIGHESTSERIES","latestEpochOrHighestSeries",1,"dwc","",""
"141","DWC:LATESTERAORHIGHESTERATHEM","latestEraOrHighestErathem",1,"dwc","",""
"142","DWC:LATESTPERIODORHIGHESTSYSTEM","latestPeriodOrHighestSystem",1,"dwc","",""
"143","DWC:LIFESTAGE","lifeStage",1,"dwc","",""
"144","DWC:LITHOSTRATIGRAPHICTERMS","lithostratigraphicTerms",1,"dwc","",""
"145","DWC:LOCALITY","locality",1,"dwc","",""
"146","DWC:LOCATIONACCORDINGTO","locationAccordingTo",1,"dwc","",""
"147","DWC:LOCATIONID","locationID",1,"dwc","",""
"148","DWC:LOCATIONREMARKS","locationRemarks",1,"dwc","",""
"149","DWC:LOWESTBIOSTRATIGRAPHICZONE","lowestBiostratigraphicZone",1,"dwc","",""
"150","DWC:MATERIALSAMPLEID","materialSampleID",1,"dwc","",""
"151","DWC:MAXIMUMDEPTHINMETERS","maximumDepthInMeters",1,"dwc","",""
"152","DWC:MAXIMUMDISTANCEABOVESURFACEINMETERS","maximumDistanceAboveSurfaceInMeters",1,"dwc","",""
"153","DWC:MAXIMUMELEVATIONINMETERS","maximumElevationInMeters",1,"dwc","",""
"154","DWC:MEMBER","member",1,"dwc","",""
"155","DWC:MINIMUMDEPTHINMETERS","minimumDepthInMeters",1,"dwc","",""
"156","DWC:MINIMUMDISTANCEABOVESURFACEINMETERS","minimumDistanceAboveSurfaceInMeters",1,"dwc","",""
"157","DWC:MINIMUMELEVATIONINMETERS","minimumElevationInMeters",1,"dwc","",""
"158","DWC:MONTH","month",1,"dwc","",""
"159","DWC:MUNICIPALITY","municipality",1,"dwc","",""
"160","DWC:NAMEACCORDINGTO","nameAccordingTo",1,"dwc","",""
"161","DWC:NAMEACCORDINGTOID","nameAccordingToID",1,"dwc","",""
"162","DWC:NAMEPUBLISHEDIN","namePublishedIn",1,"dwc","",""
"163","DWC:NAMEPUBLISHEDINID","namePublishedInID",1,"dwc","",""
"164","DWC:NAMEPUBLISHEDINYEAR","namePublishedInYear",1,"dwc","",""
